GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Cassino Online Microservice,com.cassino.online.enums,TipoJogo,6,38,0,0,2,8,2,2,2,2
Cassino Online Microservice,com.cassino.online.enums,StatusPartida,3,46,0,0,1,9,1,2,1,2
Cassino Online Microservice,com.cassino.online.config,SwaggerConfig,33,0,0,0,12,0,2,0,2,0
Cassino Online Microservice,com.cassino.online.model,Partida,98,80,10,2,24,29,20,13,14,13
Cassino Online Microservice,com.cassino.online,CassinoOnlineApplication,8,0,0,0,3,0,2,0,2,0
Cassino Online Microservice,com.cassino.online.controller,SlotMachineController,18,0,0,0,7,0,2,0,2,0
Cassino Online Microservice,com.cassino.online.controller,BlackjackController.ErrorResponse,23,0,0,0,10,0,5,0,5,0
Cassino Online Microservice,com.cassino.online.controller,PartidaController,134,0,2,0,35,0,12,0,11,0
Cassino Online Microservice,com.cassino.online.controller,BlackjackController,37,0,0,0,11,0,3,0,3,0
Cassino Online Microservice,com.cassino.online.controller,SlotMachineController.ErrorResponse,23,0,0,0,10,0,5,0,5,0
Cassino Online Microservice,com.cassino.online.controller,RoletaController.ErrorResponse,23,0,0,0,10,0,5,0,5,0
Cassino Online Microservice,com.cassino.online.controller,PartidaController.ErrorResponse,23,0,0,0,10,0,5,0,5,0
Cassino Online Microservice,com.cassino.online.controller,RoletaController,25,0,0,0,7,0,2,0,2,0
Cassino Online Microservice,com.cassino.online.dto,JogadaBlackjackDTO,16,0,0,0,8,0,4,0,4,0
Cassino Online Microservice,com.cassino.online.dto,JogadaRoletaDTO,9,31,0,0,4,14,1,9,1,9
Cassino Online Microservice,com.cassino.online.dto,IniciarPartidaDTO,12,24,0,0,5,11,1,7,1,7
Cassino Online Microservice,com.cassino.online.dto,ResultadoPartidaDTO,66,0,0,0,28,0,14,0,14,0
Cassino Online Microservice,com.cassino.online.service,RoletaService,34,237,5,13,5,31,5,9,0,5
Cassino Online Microservice,com.cassino.online.service,SlotMachineService.ResultadoSlotMachine,3,30,0,0,1,11,1,5,1,5
Cassino Online Microservice,com.cassino.online.service,BlackjackService.EstadoBlackjack,51,0,0,0,17,0,10,0,10,0
Cassino Online Microservice,com.cassino.online.service,SlotMachineService,43,374,8,18,4,50,7,12,0,6
Cassino Online Microservice,com.cassino.online.service,PartidaService.EstatisticasJogadorDTO,29,27,2,0,4,10,5,4,4,4
Cassino Online Microservice,com.cassino.online.service,BlackjackService,474,0,32,0,89,0,29,0,12,0
Cassino Online Microservice,com.cassino.online.service,SlotMachineService.CombinacaoVencedora,0,21,0,0,0,8,0,4,0,4
Cassino Online Microservice,com.cassino.online.service,RoletaService.ResultadoRoleta,6,27,0,0,2,10,2,4,2,4
Cassino Online Microservice,com.cassino.online.service,PartidaService,85,139,7,4,21,34,10,12,5,10
